incident_zip,created_date,latitude,longitude
10463,2020-05-25T21:56:01.000,40.87602186087904,-73.90300079606398
10031,2020-05-26T01:28:42.000,40.830222460372724,-73.94768359377827
10308,2020-05-25T21:50:44.000,40.55392199923693,-74.1603702336835
10463,2020-05-25T21:57:44.000,40.87527792119058,-73.90616584731168
10031,2020-05-25T21:59:26.000,40.82610535513842,-73.94761095175807
10471,2020-05-25T23:12:47.000,40.89548442625844,-73.8966533898276
10457,2020-05-25T23:05:03.000,40.85026704704119,-73.89523804356742
11214,2020-05-25T22:38:20.000,40.610280452421854,-74.00001800802549
11420,2020-05-25T23:30:58.000,40.67862051166136,-73.82798040899924
11231,2020-05-25T20:52:22.000,40.6811150941203,-73.99978006872696
11419,2020-05-25T21:38:35.000,40.68689429290453,-73.8214434737785
11221,2020-05-25T22:17:53.000,40.6944904740541,-73.920679025924
10471,2020-05-26T00:07:43.000,40.89436723136628,-73.89653214879638
10040,2020-05-26T00:05:31.000,40.85499852325298,-73.93120204527996
10040,2020-05-25T23:57:37.000,40.854588772844636,-73.92989028390193
11428,2019-06-26T12:53:09.000,40.719932970389486,-73.74056766316643
10030,2020-05-25T23:55:31.000,40.81996098581391,-73.94401006098994
10040,2020-05-26T02:23:20.000,40.854992232899,-73.92987178432652
11212,2020-05-26T03:10:05.000,40.66127218133704,-73.91538767773243
10040,2020-05-26T03:13:25.000,40.85518845589248,-73.9276122849613
11201,2020-05-26T02:35:15.000,40.69944187127121,-73.99659553780181
10033,2019-06-26T22:54:28.000,NA,NA
10452,2019-06-26T09:33:44.000,40.84150345115941,-73.91563912482995
10463,2020-05-26T21:27:26.000,40.88576052939843,-73.91041855819296
10462,2019-06-26T21:00:34.000,40.85096611829394,-73.86072073735662
10040,2020-05-26T19:05:32.000,40.854992232899,-73.92987178432652
11228,2020-05-26T20:49:38.000,40.626770185601806,-74.01500078900708
11432,2020-05-27T01:35:30.000,NA,NA
10463,2020-05-26T21:18:33.000,40.88768873091231,-73.90874145743568
10461,2020-05-26T13:51:32.000,40.83777538586229,-73.82655699501007
11219,2020-05-26T15:37:36.000,40.62029069938273,-73.99822414240006
10452,2020-05-27T21:22:20.000,40.842157243501774,-73.92434842172408
10457,2020-05-28T00:10:28.000,40.85397840556349,-73.8988939938161
10452,2020-05-23T21:27:44.000,40.8448051737876,-73.91541807941519
10040,2020-05-23T17:16:48.000,40.853992846328005,-73.92935592122582
11237,2020-05-23T18:19:14.000,40.69559808024908,-73.91139891555152
10463,2020-05-24T21:22:09.000,40.87772148464198,-73.90055022077499
11234,2020-05-29T21:29:35.000,40.61106578977403,-73.9064111727482
11691,2019-06-29T23:01:26.000,40.59512619363287,-73.75125004902733
11226,2019-06-30T21:27:42.000,40.653749059766874,-73.9625585439663
10128,2019-06-30T21:59:34.000,40.78090404681427,-73.94511170979791
10462,2020-05-30T00:49:19.000,40.8360461605441,-73.86325635690642
11103,2019-06-30T21:58:44.000,40.7601874556734,-73.91469529940512
11417,2019-06-30T11:56:56.000,40.68070005471548,-73.84464287635403
11434,2019-07-01T23:46:23.000,40.68496563190803,-73.79253494952006
11385,2019-07-01T21:37:51.000,40.70526952047172,-73.86502502433298
10032,2020-05-29T23:49:29.000,40.83514729676267,-73.94360337896514
10469,2020-05-29T12:25:41.000,40.867472053633186,-73.84509234389057
10452,2019-07-01T23:25:48.000,40.828476588933,-73.92282466060625
10453,2019-07-01T22:27:09.000,40.846869604369374,-73.90875408479297
10452,2020-05-29T17:59:36.000,40.83122876831649,-73.92583518265683
11378,2020-05-29T22:27:39.000,40.72184343829103,-73.90443375528439
11203,2019-07-01T22:35:38.000,40.65941517743085,-73.9389835134306
10023,2019-07-02T00:41:47.000,40.77410117169107,-73.98671348851468
11208,2019-07-01T22:00:09.000,40.671141206139566,-73.88007243056403
11234,2020-05-29T21:32:59.000,40.61774107367677,-73.90634057938809
11235,2020-05-30T19:53:35.000,40.58423417971213,-73.93204260949086
10040,2020-05-30T23:45:42.000,40.85588802556055,-73.93156984558253
10463,2020-05-31T01:03:08.000,40.877765465075115,-73.90062609301893
10040,2020-05-30T22:49:24.000,40.85427983830552,-73.93192213754392
10468,2019-07-02T07:51:18.000,40.8614036866412,-73.90986931857002
10029,2019-07-01T22:41:13.000,40.79515567669279,-73.94720552659194
10026,2019-07-02T00:13:57.000,40.804241272436066,-73.95496433631865
11233,2019-07-01T21:27:24.000,40.68489445156485,-73.91637449361322
11203,2019-07-01T22:14:08.000,40.65941517743085,-73.9389835134306
10026,2019-07-01T23:55:30.000,40.803470093845725,-73.94861485904825
11226,2019-07-02T09:00:50.000,40.65571305604019,-73.95884886578202
10304,2019-07-01T21:55:00.000,NA,NA
10455,2020-05-30T21:12:51.000,40.817408469111726,-73.9028008163553
11226,2019-07-02T01:37:43.000,40.65284258115744,-73.96046518496607
11232,2020-05-30T22:13:02.000,40.64491693382068,-73.99793520898986
10040,2020-05-30T23:41:25.000,40.85388132628399,-73.93102969062137
10307,2019-07-03T22:06:23.000,40.51413300915378,-74.24703878957213
11249,2019-07-04T01:57:57.000,40.718070532621326,-73.9641349317291
11212,2020-05-30T21:44:05.000,40.6728158292927,-73.90377579949111
11357,2019-07-04T22:14:02.000,40.782603263021876,-73.81401189064354
11693,2019-07-04T22:55:00.000,40.58486653376822,-73.81900167998965
11417,2019-07-04T23:08:06.000,40.67601570939618,-73.84537842572892
11364,2019-07-04T21:42:31.000,40.73580882081921,-73.75697461039678
10040,2020-05-30T23:22:50.000,40.85257395051599,-73.92954539397861
10314,2019-07-04T16:58:23.000,40.61019608754056,-74.16801116691205
11368,2019-07-04T21:36:28.000,40.744968027837544,-73.86127796353865
11221,2019-07-05T02:08:50.000,40.69868457438473,-73.92924279995613
10301,2019-07-04T19:47:07.000,40.61920091253972,-74.10370769440517
11694,2019-07-04T22:22:57.000,40.58434059073065,-73.82143324969408
11694,2019-07-04T21:37:25.000,40.584618130652416,-73.82341263330774
11215,2019-07-04T20:30:02.000,40.66784944189175,-73.99403419892276
11234,2020-05-30T22:56:22.000,40.619128174588504,-73.90419899481715
11219,2020-05-30T22:41:57.000,40.64350323566599,-73.99407601308346
11366,2019-07-05T10:35:27.000,40.72146190526075,-73.80452852154046
11234,2020-05-30T22:50:32.000,40.61774107367677,-73.90634057938809
11364,2019-07-04T21:55:34.000,40.75061403512289,-73.76489694343135
10026,2019-07-05T01:29:13.000,40.800670491467685,-73.94865675115344
10040,2020-05-30T23:23:17.000,40.855656181545385,-73.92943006727548
10465,2019-07-05T09:17:05.000,40.847485626139274,-73.8173075854626
10312,2019-07-04T21:06:20.000,40.54484243477497,-74.17520493576164
10307,2019-07-04T23:45:35.000,40.50453786300257,-74.24921842808018
11103,2019-07-06T00:08:42.000,40.76129658312256,-73.91139093683525
11694,2020-05-31T20:52:33.000,40.58462358704258,-73.82339101750762
10465,2019-07-06T21:33:20.000,40.816775440820024,-73.80912583141043
10314,2019-07-06T21:09:41.000,40.61897749967068,-74.13629894692339
11421,2019-07-06T21:12:27.000,40.69052800198384,-73.86324468177912
10027,2020-05-31T23:15:38.000,40.81640278803893,-73.9540745928603
10461,2019-07-06T21:31:52.000,40.83718102006372,-73.82922559926473
10312,2019-07-06T21:45:30.000,40.55316108715697,-74.17031834987472
10463,2020-05-31T23:53:24.000,40.887716047977634,-73.90517541532166
10040,2020-05-31T21:37:35.000,40.85509784049095,-73.93689173668447
10032,2020-05-31T12:29:42.000,40.8345949591979,-73.94228844266573
10463,2020-05-31T22:35:41.000,40.87980858703081,-73.90516137976249
10460,2019-07-07T01:03:40.000,40.846342519180496,-73.88417696544845
10463,2020-05-31T22:29:03.000,40.88219761192211,-73.91001832917962
11361,2019-07-06T21:55:37.000,40.767541631896265,-73.78492390267513
10033,2019-07-06T22:05:36.000,40.85212857574681,-73.93781991746624
11218,2019-07-06T22:21:40.000,40.63359169062697,-73.97365226115444
10027,2020-05-31T22:05:54.000,40.81520380586783,-73.95524593355366
10463,2020-05-31T22:07:22.000,40.87485851552204,-73.90348341298909
10472,2019-07-06T18:15:04.000,40.83072198426555,-73.86608224819335
10031,2019-07-07T01:51:30.000,40.818829155369386,-73.95416324069988
10463,2020-05-31T22:08:05.000,40.87782724521507,-73.9055583608198
10471,2020-05-31T23:47:31.000,40.892800183923605,-73.8967190506193
10460,2020-05-31T20:58:35.000,40.83702574235766,-73.86535039633193
10040,2020-06-01T00:18:18.000,40.85632085432521,-73.93017765242645
10463,2020-05-31T22:44:18.000,40.87599170575502,-73.90304423205578
10463,2020-05-31T23:15:44.000,40.88604829337175,-73.90986845533659
10040,2020-05-31T21:13:00.000,40.85658921307324,-73.93377785490433
11372,2019-07-08T11:42:58.000,40.748234798971765,-73.8925870336712
11226,2020-06-01T23:13:56.000,40.64598645251581,-73.96146742601698
10474,2020-06-01T23:32:07.000,40.81780154329236,-73.88829108282302
10034,2020-05-27T22:37:43.000,40.86301601278024,-73.92286773021674
10301,2019-07-08T23:27:26.000,40.64343219480661,-74.07920622592395
11233,2020-05-27T15:30:59.000,40.67094350560425,-73.92132346462867
11415,2020-05-28T22:50:04.000,40.705970786630665,-73.83451384937459
10040,2019-06-30T02:53:14.000,40.854992232899,-73.92987178432652
11226,2019-06-29T21:12:10.000,40.640431876925234,-73.95622792968322
